barrido,archivo,f_test_hz,resolucion_hz,peak_freq_hz,peak_amp_dbm,offset_hz,offset_en_bins,noise_floor_dbm,snr_db
barrido(67-1000),sweep_f_test_0.1kHz.csv,100.0,2.0,68.0,-10.17906761,-32.0,-16.0,-112.66906355,102.48999594
barrido(67-1000),sweep_f_test_0.2kHz.csv,200.0,2.0,168.0,-10.18884087,-32.0,-16.0,-114.11666875,103.92782788
barrido(67-1000),sweep_f_test_0.3kHz.csv,300.0,2.0,268.0,-10.19066525,-32.0,-16.0,-113.73301315,103.54234790000001
barrido(67-1000),sweep_f_test_0.4kHz.csv,400.0,2.0,366.0,-10.19283962,-34.0,-17.0,-113.82374955,103.63090993
barrido(67-1000),sweep_f_test_0.5kHz.csv,500.0,2.0,466.0,-10.19599341,-34.0,-17.0,-113.59570695,103.39971354
barrido(67-1000),sweep_f_test_0.6kHz.csv,600.0,2.0,566.0,-10.19972219,-34.0,-17.0,-114.14405065,103.94432846
barrido(67-1000),sweep_f_test_0.7kHz.csv,700.0,2.0,668.0,-10.20183659,-32.0,-16.0,-113.53784395,103.33600736
barrido(67-1000),sweep_f_test_0.8kHz.csv,800.0,2.0,766.0,-10.20507526,-34.0,-17.0,-113.2706528,103.06557753999999
barrido(67-1000),sweep_f_test_0.9kHz.csv,900.0,2.0,868.0,-10.20829964,-32.0,-16.0,-113.3965015,103.18820185999999
barrido(67-1000),sweep_f_test_1.0kHz.csv,1000.0,2.0,966.0,-10.21159744,-34.0,-17.0,-112.7985209,102.58692346
barrido(67-1000),sweep_f_test_1.1kHz.csv,1100.0,6.0,1068.0,-10.15779972,-32.0,-5.333333333333333,-119.76227055000001,109.60447083000001
barrido(67-1000),sweep_f_test_1.3kHz.csv,1300.0,6.0,1266.0,-10.16105175,-34.0,-5.666666666666667,-119.28693325,109.1258815
barrido(67-1000),sweep_f_test_1.5kHz.csv,1500.0,6.0,1464.0,-10.16428852,-36.0,-6.0,-119.06191015,108.89762163
barrido(67-1000),sweep_f_test_1.7kHz.csv,1700.0,6.0,1668.0,-10.16728973,-32.0,-5.333333333333333,-119.35330379999999,109.18601407
barrido(67-1000),sweep_f_test_1.9kHz.csv,1900.0,6.0,1866.0,-10.17096233,-34.0,-5.666666666666667,-119.5516073,109.38064497
barrido(67-1000),sweep_f_test_2.1kHz.csv,2100.0,6.0,2070.0,-10.17366028,-30.0,-5.0,-119.1176315,108.94397122000001
barrido(67-1000),sweep_f_test_2.3kHz.csv,2300.0,6.0,2268.0,-10.17705917,-32.0,-5.333333333333333,-118.6437019,108.46664272999999
barrido(67-1000),sweep_f_test_2.5kHz.csv,2500.0,6.0,2466.0,-10.17996407,-34.0,-5.666666666666667,-119.37809935,109.19813528
barrido(67-1000),sweep_f_test_2.7kHz.csv,2700.0,6.0,2670.0,-10.18335342,-30.0,-5.0,-119.3131674,109.12981398
